appName,precision,recall,Weight,number,tp
59,0.9524,1.0000,0.0100,40,40
58,0.9714,0.8500,0.0100,40,34
40,0.9722,0.8750,0.0100,40,35
34,0.8780,0.9000,0.0100,40,36
31,0.9286,0.9750,0.0100,40,39
75,0.9744,0.9500,0.0100,40,38
88,0.9750,0.9750,0.0100,40,39
41,0.9167,0.8250,0.0100,40,33
20,0.8780,0.9000,0.0100,40,36
14,1.0000,0.9000,0.0100,40,36
80,0.9744,0.9500,0.0100,40,38
99,0.9512,0.9750,0.0100,40,39
36,0.9750,0.9750,0.0100,40,39
74,0.9474,0.9000,0.0100,40,36
76,0.9750,0.9750,0.0100,40,39
28,0.9730,0.9000,0.0100,40,36
48,1.0000,0.9750,0.0100,40,39
44,1.0000,0.8750,0.0100,40,35
72,1.0000,0.9750,0.0100,40,39
67,0.9070,0.9750,0.0100,40,39
66,0.9737,0.9250,0.0100,40,37
49,1.0000,1.0000,0.0100,40,40
60,0.9286,0.9750,0.0100,40,39
91,0.9024,0.9250,0.0100,40,37
21,1.0000,0.9500,0.0100,40,38
81,1.0000,1.0000,0.0100,40,40
39,0.9500,0.9500,0.0100,40,38
35,0.9500,0.9500,0.0100,40,38
12,0.9500,0.9500,0.0100,40,38
29,0.9500,0.9500,0.0100,40,38
61,0.9756,1.0000,0.0100,40,40
71,1.0000,0.9250,0.0100,40,37
47,0.9756,1.0000,0.0100,40,40
93,1.0000,0.9500,0.0100,40,38
22,1.0000,0.9750,0.0100,40,39
37,0.9750,0.9750,0.0100,40,39
7,0.9487,0.9250,0.0100,40,37
6,0.9706,0.8250,0.0100,40,33
79,0.9512,0.9750,0.0100,40,39
78,0.9286,0.9750,0.0100,40,39
62,0.9474,0.9000,0.0100,40,36
9,0.4937,0.9750,0.0100,40,39
97,1.0000,0.9750,0.0100,40,39
19,0.9750,0.9750,0.0100,40,39
46,0.8810,0.9250,0.0100,40,37
65,1.0000,0.9750,0.0100,40,39
33,0.9750,0.9750,0.0100,40,39
57,0.9512,0.9750,0.0100,40,39
82,0.9750,0.9750,0.0100,40,39
1,0.9024,0.9250,0.0100,40,37
15,0.9744,0.9500,0.0100,40,38
73,0.9744,0.9500,0.0100,40,38
89,0.9070,0.9750,0.0100,40,39
10,0.7188,0.5750,0.0100,40,23
43,0.8810,0.9250,0.0100,40,37
24,0.9744,0.9500,0.0100,40,38
85,0.8974,0.8750,0.0100,40,35
42,0.9756,1.0000,0.0100,40,40
68,1.0000,0.9500,0.0100,40,38
32,1.0000,0.8750,0.0100,40,35
30,0.9070,0.9750,0.0100,40,39
69,0.9500,0.9500,0.0100,40,38
38,1.0000,0.9750,0.0100,40,39
53,0.9750,0.9750,0.0100,40,39
63,0.9487,0.9250,0.0100,40,37
54,0.9487,0.9250,0.0100,40,37
16,0.9744,0.9500,0.0100,40,38
83,1.0000,0.9750,0.0100,40,39
94,0.7400,0.9250,0.0100,40,37
77,0.8636,0.9500,0.0100,40,38
70,0.9744,0.9500,0.0100,40,38
52,0.9744,0.9500,0.0100,40,38
90,0.9512,0.9750,0.0100,40,39
98,1.0000,0.9750,0.0100,40,39
50,0.9459,0.8750,0.0100,40,35
4,1.0000,0.9500,0.0100,40,38
45,0.9524,1.0000,0.0100,40,40
84,0.9487,0.9250,0.0100,40,37
86,0.9512,0.9750,0.0100,40,39
5,0.9048,0.9500,0.0100,40,38
26,0.9512,0.9750,0.0100,40,39
87,0.8261,0.9500,0.0100,40,38
95,0.9487,0.9250,0.0100,40,37
3,0.9512,0.9750,0.0100,40,39
13,0.8718,0.8500,0.0100,40,34
11,0.9744,0.9500,0.0100,40,38
96,1.0000,1.0000,0.0100,40,40
18,0.9429,0.8250,0.0100,40,33
17,0.9286,0.9750,0.0100,40,39
8,0.8696,1.0000,0.0100,40,40
56,0.9750,0.9750,0.0100,40,39
2,0.9714,0.8500,0.0100,40,34
55,0.9750,0.9750,0.0100,40,39
64,0.9286,0.9750,0.0100,40,39
27,0.9730,0.9000,0.0100,40,36
25,1.0000,1.0000,0.0100,40,40
0,1.0000,0.8500,0.0100,40,34
92,0.9756,1.0000,0.0100,40,40
51,0.9474,0.9000,0.0100,40,36
23,0.9250,0.9250,0.0100,40,37
accuracy,0.9415,, , , 

 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
